5,Mac
6,Mac
9,Amiga
13,Mac
16,Xbox 360
18,PlayStation 3
19,PlayStation 3
20,Xbox 360
24,PC DOS
35,Mac
37,Xbox 360
38,Xbox 360
39,Xbox
41,PlayStation 3
59,Xbox 360
60,Amiga
61,Amiga
65,Xbox 360
66,Xbox 360
68,Mac
71,PlayStation 3
72,PlayStation 3
73,Xbox 360
74,Xbox 360
75,Xbox 360
76,Xbox 360
86,Sega Mega Drive/Genesis
116,Mac
118,Xbox
127,Xbox 360
130,PC DOS
142,Xbox
184,PC DOS
191,PC DOS
192,Mac
193,Amiga
202,PC DOS
207,PC DOS
231,PlayStation 2
233,PlayStation 3
247,PlayStation 3
272,PlayStation 2
285,PlayStation
295,PlayStation 3
312,PC DOS
327,Mac
339,Xbox 360
363,Mac
364,Mac
375,PlayStation 3
376,PlayStation 3
394,PlayStation Portable
403,Nintendo Switch
426,Wii U
427,Android
440,Mac
460,Mac
472,Xbox 360
474,Xbox
481,Xbox
500,Xbox 360
501,Xbox 360
533,Xbox 360
538,PlayStation 3
634,Mac
647,PlayStation
653,Xbox
717,PlayStation Portable
730,Xbox
732,PlayStation 3
733,Xbox
782,Xbox 360
796,Xbox
797,Xbox
815,Xbox
817,Super Nintendo Entertainment System (SNES)
824,PlayStation 3
832,Mac
851,Mac
863,Mac
866,Mac
902,PC DOS
911,Xbox
913,PlayStation
916,Mac
934,PlayStation 3
974,PlayStation 2
987,Xbox One
990,Xbox One
1020,Xbox 360
1026,Wii U
1029,Wii U
1030,Wii U
1046,3DO Interactive Multiplayer
1068,Nintendo 3DS
1070,Wii U
1073,Satellaview
1074,Wii U
1090,Wii U
1092,Game Boy Advance
1103,Nintendo 3DS
1105,Wii U
1128,Xbox 360
1204,PlayStation 3
1217,PlayStation 4
1230,Sega Mega Drive/Genesis
1250,Mac
1251,Mac
1271,PlayStation 3
1272,PC DOS
1341,Xbox
1352,iOS
1357,Arcade
1428,Nintendo DS
1433,Wii U
1436,Super Famicom
1437,Super Famicom
1440,Wii U
1454,PlayStation 3
1498,Super Famicom
1715,Nintendo Entertainment System (NES)
1741,Super Nintendo Entertainment System (SNES)
1754,PlayStation Portable
1802,PlayStation
1814,Android
1816,Android
1819,iOS
1871,PlayStation 3
1904,Mac
1934,Amiga
1942,Xbox One
1968,Xbox 360
1985,Xbox 360
2025,Mac
2054,Xbox
2143,Nintendo GameCube
2144,Nintendo GameCube
2155,Xbox 360
2200,Amiga
2201,Commodore C64/128
2240,Wii U
2274,Mac
2295,Commodore C64/128
2413,Mac
2528,NEC PC-6000 Series
2591,Wii U
2692,PlayStation 3
2693,Xbox 360
2853,PlayStation 3
2878,Mac
2895,PC DOS
2899,New Nintendo 3DS
2912,Mac
2951,Amiga
2968,Sega Saturn
3029,Xbox 360
3036,Xbox 360
3088,Xbox 360
3102,Mac
3141,Commodore C64/128
3197,Sega Mega Drive/Genesis
3216,Android
3272,Mac
3340,Wii U
3380,PlayStation Portable
3448,Legacy Mobile Device
3568,Wii U
3637,Game Boy Color
3641,PlayStation
3719,Wii U
3730,Mac
3783,Nintendo GameCube
3794,PlayStation 2
3798,Super Nintendo Entertainment System (SNES)
3915,Nintendo GameCube
3932,Nintendo GameCube
3953,Nintendo GameCube
4034,Xbox
4036,Nintendo GameCube
4041,Nintendo GameCube
4042,Nintendo GameCube
4043,Xbox
4174,Nintendo GameCube
4345,Sega Mega Drive/Genesis
4348,PC DOS
4438,PlayStation 3
4706,Xbox 360
4716,PlayStation 3
4754,PlayStation 3
4985,PlayStation 3
4986,PlayStation 3
5056,PlayStation 2
5065,PlayStation 3
5079,PlayStation 3
5099,PlayStation 3
5114,Xbox 360
5223,PlayStation 3
5233,Xbox 360
5258,PlayStation 3
5349,Sega Mega Drive/Genesis
5413,PlayStation 4
5418,Wii U
5422,Arcade
5423,Amiga
5502,Sega Saturn
5503,Xbox One
5508,Mac
5514,Nintendo 3DS
5550,Sega Saturn
5613,Mac
5626,Mac
5850,Xbox
5894,Mac
5951,Xbox
5953,Xbox 360
5954,Xbox
6256,Mac
6291,N-Gage
6294,Dreamcast
6341,Mac
6405,PC (Microsoft Windows)
6555,PlayStation 4
6614,PlayStation Vita
6701,Mac
6707,Xbox 360
6741,Mac
6865,Nintendo 3DS
6967,Xbox 360
6978,Xbox 360
7016,Nintendo DS
7046,Mac
7111,Xbox 360
7140,Mac
7158,Android
7178,PlayStation 3
7179,PlayStation 3
7180,Xbox 360
7194,Xbox 360
7342,iOS
7344,Nintendo Switch
7348,Xbox Series X|S
7351,Xbox One
7386,Mac
7397,iOS
7406,Mac
7444,PlayStation 3
7543,Mac
7603,Xbox One
7634,Mac
7635,Mac
7650,Mac
7789,Mac
7824,Sega Game Gear
7841,Xbox One
7936,PlayStation Vita
8072,iOS
8195,Sega Game Gear
8197,Commodore C64/128
8211,Xbox 360
8214,Mac
8247,Xbox
8254,Xbox 360
8257,Sega Mega Drive/Genesis
8288,Android
8292,Sega Saturn
8307,Super Nintendo Entertainment System (SNES)
8389,PlayStation 3
8467,PlayStation 4
8492,Mac
8584,Mac
8735,Web browser
8749,PlayStation Portable
8750,Mac
8864,Mac
8968,Mac
8975,Mac
8986,PlayStation Portable
9014,Mac
9035,Mac
9046,Mac
9061,PlayStation 4
9112,PlayStation 3
9143,Xbox
9146,Arcade
9232,Mac
9262,Mac
9532,Mac
9587,Mac
9600,PlayStation Vita
9607,PlayStation 3
9609,Mac
9620,Nintendo Switch
9627,Mac
9632,Mac
9643,PlayStation 4
9694,Mac
9700,PlayStation 2
9740,Xbox 360
9789,Mac
9808,PlayStation Vita
9840,iOS
9898,Mac
10166,iOS
10175,Mac
10192,PC DOS
10235,Amiga
10496,Amiga
10760,PlayStation 4
10951,Nintendo Switch
11051,Arcade
11118,Xbox One
11133,Xbox One
11222,Neo Geo MVS
11227,Satellaview
11247,Ouya
11250,Xbox One
11328,PlayStation 4
11374,Atari ST/STE
11394,PlayStation Vita
11397,PlayStation 4
11417,Xbox One
11612,PlayStation Vita
11631,Mac
11650,Sega Mega Drive/Genesis
11737,Xbox One
11772,Mac
11800,PlayStation 4
11845,Amiga
11885,Amiga
12071,FM Towns
12089,Nintendo Entertainment System (NES)
12151,Mac
12328,Android
12497,Amiga
12503,Xbox One
12517,Mac
12579,PlayStation Vita
12586,Amstrad CPC
12672,Atari ST/STE
12765,Arcade
12861,Sega Mega Drive/Genesis
13093,Mac
13166,Xbox One
13177,Xbox One
13226,Mac
13257,Atari ST/STE
13350,ZX Spectrum
13620,PlayStation 4
13690,Xbox 360
13923,PlayStation 3
13925,Xbox 360
13926,Xbox 360
13927,Xbox 360
13928,Xbox 360
14177,Mac
14481,Amiga
14593,Mac
14697,Super Famicom
14701,iOS
14723,PlayStation 4
14741,Mac
14891,iOS
15020,PlayStation Portable
15072,PC (Microsoft Windows)
15128,Mac
15140,iOS
15167,Mac
15464,PlayStation 3
15465,Mac
15531,Xbox One
15535,TurboGrafx-16/PC Engine
15559,Xbox 360
15709,PlayStation 4
15815,Mac
15841,TurboGrafx-16/PC Engine
16305,iOS
16480,Mac
16665,PlayStation Portable
16730,Mac
16840,Mac
17000,Mac
17011,Xbox One
17224,Mac
17573,PlayStation 3
18074,Mac
18131,iOS
18136,Mac
18150,Xbox One
18182,Mac
18699,PlayStation Portable
18730,Mac
18967,Nintendo Switch
19009,PlayStation 4
19085,Mac
19121,Mac
19150,Mac
19293,Mac
19297,Mac
19325,Mac
19394,Xbox One
19409,PlayStation 4
19456,Nintendo Switch
19457,Xbox One
19636,PlayStation Portable
19686,Xbox One
19728,Mac
19729,Mac
19803,Xbox One
19839,Xbox One
19874,PlayStation 4
19924,Xbox 360
19942,Mac
19947,PlayStation Vita
20065,Xbox 360
20189,Xbox One
20341,Xbox 360
20545,PlayStation 3
20566,Android
20622,Xbox One
20734,Xbox 360
20741,PlayStation Vita
20744,PlayStation 4
20880,Nintendo Switch
21014,Nintendo Switch
21040,Xbox 360
21669,Arcade
21704,Xbox 360
21737,iOS
21762,Xbox One
21892,Xbox 360
21988,Xbox 360
22066,Xbox
22144,iOS
22439,Xbox One
22555,iOS
22754,Xbox 360
22778,Xbox One
23048,Amstrad CPC
23158,Xbox One
23190,Mac
23192,Mac
23294,Nintendo Switch
23322,PlayStation Vita
23323,PlayStation Vita
23499,iOS
23501,Mac
23701,Mac
23851,PlayStation 4
23910,PlayStation 3
23957,Xbox One
24080,PlayStation Portable
24413,Game Boy Color
24417,Nintendo Switch
24427,Mac
24481,Mac
25076,Xbox One
25253,PlayStation Vita
25513,iOS
25532,Xbox 360
25572,Mac
25599,Xbox One
25632,PlayStation VR
25651,Mac
25843,Mac
26226,Mac
26255,Xbox One
26625,PlayStation 4
26673,PlayStation 4
26700,iOS
26834,PlayStation Vita
26848,PlayStation 3
26916,Xbox One
26940,Android
27028,PlayStation Vita
27034,Mac
27035,Nintendo Switch
27072,Mac
27241,PlayStation 3
27304,PlayStation 4
27396,Xbox One
27397,Nintendo Switch
27436,iOS
27499,iOS
27667,PlayStation 4
27685,iOS
27762,Mac
27845,Xbox 360
27862,Xbox 360
27867,Nintendo Switch
27911,Xbox 360
27930,Android
27979,Xbox One
28028,Mac
28073,iOS
28160,Mac
28176,Xbox One
28210,Xbox One
28323,Xbox One
28412,Xbox One
28935,Mac
29586,Xbox One
29961,Mac
30155,Xbox One
30424,Mac
30583,Mac
30804,PlayStation 4
30968,iOS
31292,Nintendo Switch
32469,Xbox One
32889,Oculus Quest 2
32969,Xbox One
33306,iOS
33414,PlayStation 4
33992,Mac
34293,PlayStation 4
34610,Mac
34670,Nintendo Switch
34951,PlayStation 4
35282,Mac
35934,Mac
36550,Xbox One
36620,Nintendo Switch
36721,Android
36749,iOS
36929,Mac
37001,Nintendo Switch
37057,Mac
37060,Mac
38973,Xbox One
39217,iOS
39539,Nintendo Switch
40477,Mac
41026,PlayStation Vita
41595,Xbox 360
41597,Xbox 360
41610,Xbox One
41621,Android
42635,Super Famicom
43017,PlayStation 4
44078,Nintendo Switch
47445,Xbox 360
47447,iOS
50347,PC DOS
51485,Android
51820,Mac
52213,iOS
52496,PC (Microsoft Windows)
52578,PlayStation 4
53127,Mac
53818,Xbox 360
54167,Xbox One
54612,Xbox One
54662,Mac
55090,Xbox One
55322,Xbox One
55697,Mac
55771,Xbox One
57153,Mac
58141,Nintendo Switch
58672,iOS
58717,Nintendo Switch
58946,Xbox One
59086,Android
59547,iOS
59858,Mac
67778,PlayStation 3
68344,Xbox One
68407,PlayStation 3
68713,Mac
70166,PlayStation Portable
71595,PlayStation 4
74162,PlayStation 4
74545,Mac
74732,Mac
74828,Nintendo Switch
74878,Mac
74946,Nintendo Switch
75131,iOS
75239,Xbox One
75868,PlayStation 4
76045,PlayStation Vita
76244,Nintendo 3DS
76331,Nintendo Switch
76356,Mac
76641,Xbox One
76844,Legacy Mobile Device
76882,Xbox One
76959,Nintendo Switch
77264,Mac
78059,Nintendo Switch
78115,Nintendo Switch
78127,Nintendo Switch
79812,PlayStation 4
80174,Super Famicom
80185,Nintendo Switch
81085,Xbox One
81732,Mac
82370,Nintendo Switch
82372,Nintendo Switch
82374,Mac
82376,Xbox One
82377,Xbox One
82392,Nintendo Switch
82435,Xbox 360
82441,Nintendo Switch
83322,BlackBerry OS
83504,Mac
83535,Xbox One
83876,Xbox One
84157,Super Famicom
86295,Android
87088,Android
87183,Nintendo Switch
87214,iOS
87367,Nintendo Switch
87683,Xbox One
88563,Windows Phone
88578,Xbox One
88907,Nintendo Switch
89594,Mac
89771,Nintendo Switch
90051,iOS
90435,iOS
90517,Nintendo Switch
90518,Nintendo Switch
90974,Xbox One
91121,Xbox One
91191,Mac
91212,Xbox One
93901,Xbox One
94054,Nintendo Switch
94873,Nintendo Switch
94969,Mac
95054,Nintendo Switch
95069,PlayStation 3
95832,Xbox One
96252,Xbox One
96488,Nintendo Switch
98077,Xbox One
99821,Android
103221,SteamVR
103281,Xbox Series X|S
103337,PlayStation 4
104096,iOS
104819,Xbox One
104971,Xbox One
105420,Mac
105624,iOS
107218,Mac
107300,PlayStation 4
109241,Xbox One
109282,PlayStation 4
109456,Xbox One
109459,Xbox One
110069,Xbox One
111276,Nintendo Switch
111661,Xbox One
112191,iOS
113112,PlayStation 4
113113,Nintendo Switch
113344,Xbox One
114392,iOS
115278,Xbox One
115776,Xbox One
116667,Xbox One
116794,Xbox One
119133,Xbox One
119190,Xbox One
119270,Xbox One
119295,Xbox Series X|S
119304,Mac
119305,Xbox One
119314,Nintendo Switch
119390,Nintendo Switch
119402,Xbox One
119506,Nintendo Switch
120200,Xbox One
120436,Xbox One
120646,Mac
121404,Xbox One
121436,Mac
122082,Xbox One
122195,Mac
122556,Mac
122559,iOS
124954,Mac
125009,Xbox Series X|S
125021,Mac
125764,Arcade
126098,SteamVR
126120,iOS
126138,Xbox One
127036,PlayStation 3
127358,Xbox One
127816,Xbox One
127976,Mac
132165,Xbox One
132205,Xbox One
132907,Android
133887,Xbox One
133945,Xbox One
134595,Xbox One
135243,Xbox One
135337,Xbox One
135450,Xbox One
135919,PlayStation 4
135999,Nintendo Switch
136604,Xbox One
136770,Mac
136868,Xbox One
138569,Xbox One
138858,Xbox One
139399,Oculus Quest
139403,Mac
139446,Xbox One
140158,Mac
140839,Xbox One
141503,Xbox Series X|S
141540,PlayStation 4
142494,Xbox One
142803,Xbox One
143232,PlayStation 5
143335,iOS
146075,Nintendo Switch
152122,PlayStation 4
170777,PlayStation 4
171768,Nintendo Switch
178111,Xbox One
