id,name,Release Year,Score Rating
1,Thief II: The Metal Age,2000.0,89.26
2,Thief: The Dark Project,1998.0,78.28
5,Baldur's Gate,1998.0,87.07
6,Baldur's Gate II: Shadows of Amn,2000.0,89.94
9,Jagged Alliance 2,1999.0,86.15
11,Vampire: The Masquerade - Bloodlines,2004.0,79.91
13,Fallout,1997.0,86.9
14,Fallout 2,1998.0,91.1
16,Fallout: New Vegas,2010.0,85.86
18,Max Payne,2001.0,81.45
19,Max Payne 2: The Fall of Max Payne,2003.0,86.29
20,BioShock,2007.0,91.99
22,System Shock 2,1999.0,90.15
23,System Shock,1994.0,91.19
24,X-COM: UFO Defense,1994.0,86.84
35,Dungeon Keeper,1997.0,48.64
36,Dungeon Keeper 2,1999.0,87.93
37,Dead Space,2008.0,87.66
38,Dead Space 2,2011.0,89.06
39,Mafia,2002.0,76.0
41,Deus Ex,2000.0,89.77
50,Syndicate: American Revolt,1993.0,89.78
56,The Elder Scrolls III: Morrowind,2002.0,85.71
59,The Elder Scrolls IV: Oblivion,2006.0,90.89
60,The Secret of Monkey Island,1990.0,83.63
61,Monkey Island 2: LeChuck's Revenge,1991.0,90.47
62,The Curse of Monkey Island,1997.0,85.87
65,The Secret of Monkey Island: Special Edition,2009.0,82.96
66,Monkey Island 2 Special Edition: LeChuck's Revenge,2010.0,87.39
67,Master of Orion,1993.0,87.16
68,Master of Orion II: Battle at Antares,1996.0,90.51
71,Portal,2007.0,85.81
72,Portal 2,2011.0,94.68
73,Mass Effect,2007.0,89.25
74,Mass Effect 2,2010.0,95.41
75,Mass Effect 3,2012.0,89.95
76,Dragon Age: Origins,2009.0,89.85
86,Dune II: The Building of a Dynasty,1992.0,89.96
116,Star Wars: Knights of the Old Republic,2003.0,93.21
118,Star Wars: Knights of the Old Republic II - The Sith Lords,2004.0,88.47
123,World of Warcraft,2004.0,86.35
126,Diablo II,2000.0,90.31
127,Assassin's Creed II,2009.0,90.63
130,Warcraft II: Tides of Darkness,1995.0,89.36
132,Warcraft III: Reign of Chaos,2002.0,91.72
133,Warcraft III: The Frozen Throne,2003.0,88.37
142,Star Wars: Battlefront II,2005.0,81.1
166,Star Wars: TIE Fighter,1994.0,88.93
169,Star Wars: X-Wing Alliance,1999.0,86.09
181,Grim Fandango,1998.0,86.16
184,Indiana Jones and the Fate of Atlantis,1992.0,90.36
191,Loom,1990.0,88.58
192,Maniac Mansion,1987.0,88.81
193,Day of the Tentacle,1993.0,91.22
202,Sam & Max Hit the Road,1993.0,84.08
207,The Dig,1995.0,65.21
222,Phantasmagoria 2: A Puzzle of Flesh,1996.0,86.87
227,World of Warcraft: The Burning Crusade,2007.0,83.47
228,World of Warcraft: Wrath of the Lich King,2008.0,93.72
230,StarCraft,1998.0,89.93
231,Half-Life,1998.0,86.36
233,Half-Life 2,2004.0,92.98
239,StarCraft II: Wings of Liberty,2010.0,89.03
245,Command & Conquer: Red Alert 2,2000.0,88.81
246,Diablo II: Lord of Destruction,2001.0,88.92
247,Half-Life 2: Episode Two,2007.0,79.94
255,Arcanum: Of Steamworks and Magick Obscura,2001.0,89.69
257,"Warhammer 40,000: Dawn of War",2004.0,85.92
272,Unreal Tournament,1999.0,93.6
285,Railroad Tycoon II,1998.0,85.48
288,Operation Flashpoint: Cold War Crisis,2001.0,89.27
293,Sid Meier's Civilization IV,2005.0,90.72
295,Command & Conquer: Red Alert,1996.0,87.4
303,Anno 1602: Creation of a New World,1998.0,87.54
312,DOOM II: Hell on Earth,1994.0,85.4
316,SWAT 4,2005.0,85.86
322,Blade Runner,1997.0,87.35
327,Age of Empires II: The Age of Kings,1999.0,84.0
339,The Orange Box,2007.0,90.06
363,Heroes of Might and Magic II: The Succession Wars,1996.0,85.78
364,Heroes of Might and Magic III: The Restoration of Erathia,1999.0,90.46
365,Heroes of Might and Magic III: Armageddon's Blade,1999.0,88.2
366,Heroes of Might and Magic III: The Shadow of Death,2000.0,83.78
375,Metal Gear Solid,1998.0,86.35
376,Metal Gear Solid 2: Sons of Liberty,2001.0,89.79
379,Metal Gear Solid 3: Snake Eater,2004.0,89.99
380,Metal Gear Solid 4: Guns of the Patriots,2008.0,91.15
394,Final Fantasy Tactics: The War of the Lions,2007.0,85.94
398,Final Fantasy XII,2006.0,88.18
403,Final Fantasy Legend II,1990.0,86.58
418,Final Fantasy X,2001.0,91.79
421,Final Fantasy IX,2000.0,86.45
426,Final Fantasy VI,1994.0,95.62
427,Final Fantasy VII,1997.0,88.69
428,Final Fantasy Tactics,1997.0,85.16
434,Red Dead Redemption,2010.0,92.14
436,Shogun: Total War,2000.0,88.15
440,Medieval II: Total War,2006.0,88.39
448,Operation Flashpoint: Resistance,2002.0,89.79
449,Operation Flashpoint: Red Hammer,2002.0,88.58
456,StarCraft: Brood War,1998.0,90.55
457,StarCraft II: Heart of the Swarm,2013.0,88.13
458,StarCraft II: Legacy of the Void,2015.0,88.8
460,"Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe",1995.0,86.0
472,The Elder Scrolls V: Skyrim,2011.0,94.43
474,Metal Gear Solid 2: Substance,2002.0,84.01
479,Metal Gear Solid 3: Subsistence,2005.0,95.06
481,Silent Hill 2,2001.0,91.73
499,God of War III,2010.0,91.63
500,Batman: Arkham Asylum,2009.0,89.75
501,Batman: Arkham City,2011.0,90.97
512,Uncharted 3: Drake's Deception,2011.0,90.36
533,Dishonored,2012.0,88.98
538,Bioshock Infinite,2013.0,91.47
551,God of War II,2007.0,90.38
565,Uncharted 2: Among Thieves,2009.0,93.95
634,Sid Meier's Civilization II,1996.0,85.4
640,Codename: Panzers - Phase One,2004.0,87.54
647,Command & Conquer,1995.0,86.14
653,Commandos 2: Men of Courage,2001.0,88.52
654,Company of Heroes,2006.0,90.52
657,Dark Age of Camelot,2001.0,94.56
717,Football Manager 2011,2010.0,85.55
721,Freedom Force vs. The 3rd Reich,2005.0,93.05
728,Grand Prix II,1996.0,87.91
730,Grand Theft Auto III,2001.0,91.18
732,Grand Theft Auto: San Andreas,2004.0,93.96
733,Grand Theft Auto: Vice City,2002.0,92.66
736,GT Legends,2005.0,87.43
741,Hearts of Iron III,2009.0,85.25
750,Homeworld 2,2003.0,81.16
767,Kohan: Immortal Sovereigns,2001.0,84.27
782,Mass Effect 2: Lair of the Shadow Broker,2010.0,76.8
788,Microsoft Flight Simulator 2000,1999.0,79.95
790,Might and Magic VI: The Mandate of Heaven,1998.0,87.39
794,Wing Commander: Privateer,1993.0,89.94
796,MVP Baseball 2005,2005.0,91.9
797,Myst III: Exile,2001.0,88.15
815,NHL 2002,2001.0,77.97
817,NHL 97,1996.0,89.51
820,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,2002.0,83.47
824,NHL 09,2008.0,89.81
827,Outcast,1999.0,89.07
832,Planescape: Torment,1999.0,80.61
841,Rallisport Challenge,2002.0,89.54
842,Rally Trophy,2001.0,78.05
851,Robin Hood: The Legend of Sherwood,2002.0,83.09
863,Sid Meier's Alpha Centauri,1999.0,90.75
866,Sid Meier's Civilization V,2010.0,87.09
902,Sid Meier's Civilization,1991.0,93.5
911,Tom Clancy's Splinter Cell: Chaos Theory,2005.0,81.6
913,Tony Hawk's Pro Skater 2,2000.0,86.3
916,Toonstruck,1996.0,90.81
934,Wing Commander IV: The Price of Freedom,1995.0,75.97
935,Wing Commander: Prophecy,1997.0,77.54
955,Under a Killing Moon,1994.0,79.0
974,Resident Evil 4,2005.0,85.58
987,Halo 3,2007.0,88.81
990,Halo: Reach,2010.0,87.73
1009,The Last of Us,2013.0,94.72
1020,Grand Theft Auto V,2013.0,92.64
1026,The Legend of Zelda: A Link to the Past,1991.0,97.32
1027,The Legend of Zelda: Link's Awakening DX,1998.0,88.05
1028,The Legend of Zelda: Link's Awakening,1993.0,83.11
1029,The Legend of Zelda: Ocarina of Time,1998.0,93.29
1030,The Legend of Zelda: Majora's Mask,2000.0,89.19
1033,The Legend of Zelda: The Wind Waker,2002.0,89.7
1036,The Legend of Zelda: Twilight Princess,2006.0,91.42
1039,The Legend of Zelda: Ocarina of Time 3D,2011.0,91.96
1046,Star Control II,1992.0,95.84
1068,Super Mario Bros. 3,1988.0,90.22
1070,Super Mario World,1990.0,97.7
1073,Super Mario World 2: Yoshi's Island,1995.0,94.93
1074,Super Mario 64,1996.0,90.83
1077,Super Mario Galaxy,2007.0,94.34
1078,Super Mario Galaxy 2,2010.0,93.25
1090,Donkey Kong Country,1994.0,82.88
1092,Donkey Kong Country 2: Diddy's Kong Quest,1995.0,79.83
1103,Super Metroid,1994.0,97.09
1105,Metroid Prime,2002.0,94.14
1107,Metroid: Zero Mission,2004.0,91.48
1108,Metroid Prime 2: Echoes,2004.0,83.53
1111,Metroid Prime 3: Corruption,2007.0,88.03
1112,Metroid Prime: Trilogy,2009.0,89.38
1115,Vampire Killer,1986.0,85.74
1128,Castlevania: Symphony of the Night,1997.0,92.49
1134,Castlevania: Aria of Sorrow,2003.0,87.12
1173,Golden Sun: The Lost Age,2002.0,84.09
1179,Lufia: The Legend Returns,2001.0,90.0
1200,Tales of Phantasia,1995.0,75.87
1204,Tales of Symphonia,2003.0,88.8
1215,Dark Cloud 2,2002.0,87.58
1217,Shenmue,1999.0,87.78
1221,Kingdom Hearts II,2005.0,89.68
1224,Kingdom Hearts Birth by Sleep,2010.0,84.57
1229,Xenosaga Episode III: Also sprach Zarathustra,2006.0,85.94
1230,Phantasy Star IV: The End of the Millennium,1993.0,89.98
1233,Phantasy Star,1987.0,89.69
1250,Gabriel Knight: Sins of the Fathers,1993.0,87.22
1251,The Beast Within: A Gabriel Knight Mystery,1995.0,84.56
1253,The Lost Vikings 2,1997.0,86.8
1255,MechWarrior Online,2013.0,80.58
1260,South Park Let's Go Tower Defense Play!,2009.0,73.94
1271,Ōkami,2006.0,88.52
1272,SimCity,1989.0,72.64
1341,Beyond Good & Evil,2003.0,88.7
1346,Xenogears,1998.0,89.41
1348,Ghost Trick: Phantom Detective,2010.0,86.64
1352,Journey,2012.0,90.93
1357,U.N. Squadron,1989.0,88.51
1370,Company of Heroes: Opposing Fronts,2007.0,83.97
1371,Company of Heroes: Tales of Valor,2009.0,76.75
1399,Professor Layton and the Unwound Future,2008.0,89.16
1428,Phoenix Wright: Ace Attorney − Trials and Tribulations,2004.0,85.98
1433,Fire Emblem: Shadow Dragon and the Blade of Light,1990.0,72.59
1436,Fire Emblem: Genealogy of the Holy War,1996.0,85.73
1437,Fire Emblem: Thracia 776,1999.0,88.78
1439,Fire Emblem: The Blazing Blade,2003.0,88.94
1440,Fire Emblem: The Sacred Stones,2004.0,84.09
1442,Fire Emblem: Radiant Dawn,2007.0,80.31
1443,Fire Emblem: Awakening,2012.0,88.0
1454,Suikoden II,1998.0,96.26
1463,Perfect Dark,2000.0,80.04
1466,Perfect Dark,2010.0,78.36
1498,Front Mission,1995.0,79.47
1511,Pokémon Blue,1996.0,85.81
1513,Pokémon Silver,1999.0,86.89
1514,Pokémon Crystal,2000.0,87.34
1517,Pokémon Emerald,2004.0,73.36
1518,Pokémon Pearl,2006.0,85.48
1520,Pokémon SoulSilver,2009.0,90.24
1545,Wipeout 2048,2012.0,84.27
1551,Virtua Fighter 3,1996.0,88.04
1556,Pokémon HeartGold,2009.0,86.67
1558,Pokémon Gold,1999.0,87.22
1600,Gran Turismo 3: A-Spec,2001.0,92.71
1601,Gran Turismo 4,2004.0,86.56
1627,Super Smash Bros. Melee,2001.0,95.15
1638,GoldenEye 007,1997.0,86.94
1671,Panzer Dragoon Saga,1998.0,87.03
1692,Advance Wars 2: Black Hole Rising,2003.0,88.21
1698,Wario Land 3,2000.0,85.67
1706,WarioWare: Smooth Moves,2006.0,83.15
1715,Mega Man 2,1988.0,87.4
1741,Mega Man X,1993.0,85.95
1754,Mega Man Legends 2,2000.0,82.56
1757,Mega Man Battle Network 3 White,2002.0,88.52
1758,Mega Man Battle Network 3 Blue,2003.0,87.13
1779,Mega Man ZX,2006.0,76.55
1780,Mega Man ZX Advent,2007.0,84.55
1786,Mega Man Star Force 3: Black Ace,2008.0,89.42
1802,Chrono Trigger,1995.0,93.49
1804,Chrono Cross,1999.0,85.67
1814,Dragon Quest III: The Seeds of Salvation,1988.0,44.3
1816,Dragon Quest V: Hand of the Heavenly Bride,2008.0,93.2
1819,Dragon Quest VIII: Journey of the Cursed King,2004.0,86.75
1840,Neverwinter Nights 2: Mask of the Betrayer,2007.0,83.55
1864,Ni no Kuni: Wrath of the White Witch,2011.0,85.43
1871,The Walking Dead: Season One,2012.0,86.44
1904,Europa Universalis IV,2013.0,86.75
1934,Red Baron,1990.0,86.56
1942,The Witcher 3: Wild Hunt,2015.0,96.35
1955,Zork: Grand Inquisitor,1997.0,86.28
1968,Rayman Legends,2013.0,89.5
1985,Metal Gear Solid V: The Phantom Pain,2015.0,91.35
2012,Darkest Hour: A Hearts of Iron Game,2011.0,85.41
2025,Mount & Blade: Warband,2010.0,77.68
2037,Hearts of Iron II,2005.0,86.55
2054,OutRun 2006: Coast 2 Coast,2006.0,89.03
2133,Super Stardust HD,2007.0,84.56
2135,Bayonetta 2,2014.0,91.04
2143,TimeSplitters 2,2002.0,91.85
2144,TimeSplitters: Future Perfect,2005.0,83.18
2148,Banjo-Kazooie,1998.0,81.82
2155,Dark Souls,2011.0,89.74
2164,The Neverhood,1996.0,90.85
2180,Super Mario 3D World,2013.0,89.83
2194,Punch-Out!!,2009.0,86.03
2200,Test Drive,1987.0,87.76
2201,The Duel: Test Drive II,1989.0,88.57
2207,Shadow of the Colossus,2005.0,90.31
2229,Star Trek: Judgment Rites,1993.0,88.93
2240,Pikmin 2,2004.0,87.04
2259,Boom Blox,2008.0,81.38
2261,Gothic,2001.0,82.63
2262,Gothic II,2002.0,84.3
2266,Muramasa: The Demon Blade,2009.0,85.71
2274,Return of the Tentacle,2018.0,88.87
2276,The Legend of Zelda: The Wind Waker HD,2013.0,90.59
2283,Defense of the Ancients,2003.0,90.88
2295,A Mind Forever Voyaging,1985.0,93.69
2350,Mario Kart 8,2014.0,89.62
2364,Xenoblade Chronicles,2010.0,89.59
2413,Oni,2001.0,79.51
2445,"Commander Keen in Goodbye, Galaxy!: The Armageddon Machine",1991.0,89.44
2481,Gothic II: The Night of the Raven,2003.0,90.44
2528,Lands of Lore: The Throne of Chaos,1993.0,89.88
2541,Rockstar Games presents Table Tennis,2006.0,84.4
2591,Star Fox 64,1997.0,86.25
2617,The Settlers II: Gold Edition,1997.0,92.26
2687,Animal Crossing: New Leaf,2012.0,86.86
2692,Rock Band 2,2008.0,90.02
2693,The Beatles: Rock Band,2009.0,87.08
2853,Braid,2008.0,86.64
2878,Ultima IV: Quest of the Avatar,1985.0,85.3
2895,NetHack,1987.0,89.59
2899,EarthBound,1994.0,91.76
2900,Harvester,1996.0,85.97
2909,The Legend of Zelda: A Link Between Worlds,2013.0,90.78
2912,Leisure Suit Larry: Love for Sail!,1996.0,85.07
2922,Crusader Kings,2004.0,85.66
2951,Elite,1984.0,90.1
2968,Dragon Force,1996.0,86.99
2985,Persona 4 Golden,2012.0,95.12
3000,Shadowrun,1994.0,86.5
3023,The Movies: Stunts and Effects,2006.0,86.03
3029,Spelunky,2012.0,88.88
3036,Battlefield 3: Close Quarters,2012.0,80.61
3047,Forza Horizon,2012.0,83.54
3067,Knights and Merchants: The Shattered Kingdom,1998.0,86.34
3084,Cry of Fear,2013.0,88.15
3088,Rocksmith 2014,2013.0,87.24
3102,Kerbal Space Program,2015.0,87.81
3126,Ultima Online,1997.0,82.88
3127,Brigandine: The Legend of Forsena,1998.0,88.27
3141,Tales of the Unknown: Volume I - The Bard's Tale,1985.0,86.46
3197,Shining Force II,1993.0,86.16
3216,Secret of Mana,1993.0,86.86
3230,The Night of the Rabbit,2013.0,85.76
3272,Sid Meier's Civilization V: Brave New World,2013.0,86.14
3319,Metropolis Street Racer,2000.0,89.97
3322,Project Gotham Racing 3,2005.0,88.07
3340,Paper Mario,2000.0,88.79
3349,Paper Mario: The Thousand-Year Door,2004.0,91.73
3351,Mario & Luigi: Superstar Saga,2003.0,86.73
3363,Mario & Luigi: Bowser's Inside Story,2009.0,92.89
3378,Harvest Moon 64,1999.0,89.94
3380,Harvest Moon: Back to Nature,1999.0,87.83
3384,Harvest Moon: A Wonderful Life,2003.0,86.95
3405,Mario Golf: World Tour,2014.0,84.6
3418,Banjo-Tooie,2000.0,87.21
3448,Bomberman '94,1993.0,87.77
3466,Custom Robo Arena,2006.0,80.5
3568,Ogre Battle 64: Person of Lordly Caliber,1999.0,96.9
3637,Wetrix,1998.0,83.53
3641,World Cup 98,1998.0,86.74
3683,Mother 3,2006.0,90.66
3719,Kirby Super Star,1996.0,83.56
3725,Kirby's Return to Dream Land,2011.0,88.2
3730,Pajama Sam In: No Need to Hide When It's Dark Outside,1996.0,85.41
3735,Red Dead Redemption: Undead Nightmare,2010.0,87.98
3783,Aggressive Inline,2002.0,89.53
3794,Barnyard,2006.0,76.43
3795,Baten Kaitos: Eternal Wings and the Lost Ocean,2003.0,83.87
3798,Dungeon Master,1987.0,90.07
3814,Battlefield 2: Armored Fury,2006.0,80.44
3915,Fight Night Round 2,2005.0,90.89
3932,Gladius,2003.0,89.68
3953,Ikaruga,2001.0,89.07
4034,NBA Live 06,2005.0,87.34
4035,NBA Street,2001.0,87.81
4036,NBA Street Vol. 2,2003.0,87.62
