18,iOS
192,Apple II
538,Nintendo Switch
732,iOS
913,Game Boy Advance
1128,PlayStation Vita
1272,ZX Spectrum
1741,New Nintendo 3DS
1802,Super Famicom
1814,Nintendo Switch
1871,PlayStation Vita
2201,MSX
2878,iOS
2951,Atari ST/STE
3141,Atari ST/STE
3798,Sharp X68000
3953,Nintendo Switch
4348,Nintendo 3DS
4754,Nintendo Switch
5508,Nintendo Switch
5613,Nintendo Switch
6405,iOS
6707,Xbox One
7194,PlayStation 4
7444,PlayStation 4
7789,PlayStation 4
8197,MSX
8307,Sega Master System
9112,Xbox One
9607,PlayStation 4
9700,iOS
10235,Atari 8-bit
11885,Sega Master System
12765,TurboGrafx-16/PC Engine
13226,Nintendo Switch
15167,PlayStation 4
16840,Xbox One
17000,Xbox One
17573,Xbox One
23048,ColecoVision
23910,PlayStation 4
26848,PlayStation 4
27241,PlayStation 4
28160,Nintendo Switch
40477,Nintendo Switch
52496,PlayStation Portable
125021,Amazon Fire TV
127036,Nintendo Switch
139446,DUPLICATE Stadia
141540,Google Stadia
