id,g1,g2,g3,g4,g5,g6,g7,g8,g9
1,5,13,31,0,0,0,0,0,0
2,13,31,0,0,0,0,0,0,0
5,12,0,0,0,0,0,0,0,0
6,12,0,0,0,0,0,0,0,0
9,12,15,16,24,31,0,0,0,0
11,12,0,0,0,0,0,0,0,0
13,12,16,0,0,0,0,0,0,0
14,12,16,0,0,0,0,0,0,0
16,5,12,0,0,0,0,0,0,0
18,5,0,0,0,0,0,0,0,0
19,5,0,0,0,0,0,0,0,0
20,5,12,31,0,0,0,0,0,0
22,5,12,0,0,0,0,0,0,0
23,5,12,0,0,0,0,0,0,0
24,15,16,24,0,0,0,0,0,0
35,11,15,0,0,0,0,0,0,0
36,11,15,0,0,0,0,0,0,0
37,5,0,0,0,0,0,0,0,0
38,5,31,0,0,0,0,0,0,0
39,4,5,10,31,0,0,0,0,0
41,5,12,0,0,0,0,0,0,0
50,15,24,0,0,0,0,0,0,0
56,12,31,0,0,0,0,0,0,0
59,12,31,0,0,0,0,0,0,0
60,2,9,31,0,0,0,0,0,0
61,2,9,31,0,0,0,0,0,0
62,2,9,31,0,0,0,0,0,0
65,2,9,31,0,0,0,0,0,0
66,2,9,31,0,0,0,0,0,0
67,15,16,0,0,0,0,0,0,0
68,15,16,0,0,0,0,0,0,0
71,5,8,9,0,0,0,0,0,0
72,5,8,9,31,0,0,0,0,0
73,5,12,0,0,0,0,0,0,0
74,5,12,13,31,0,0,0,0,0
75,5,12,31,0,0,0,0,0,0
76,12,0,0,0,0,0,0,0,0
86,11,15,0,0,0,0,0,0,0
116,12,31,0,0,0,0,0,0,0
118,12,15,31,0,0,0,0,0,0
123,12,31,0,0,0,0,0,0,0
126,12,25,0,0,0,0,0,0,0
127,8,31,0,0,0,0,0,0,0
130,11,15,0,0,0,0,0,0,0
132,11,15,0,0,0,0,0,0,0
133,11,15,0,0,0,0,0,0,0
142,5,31,0,0,0,0,0,0,0
166,5,13,0,0,0,0,0,0,0
169,5,13,0,0,0,0,0,0,0
181,2,9,31,0,0,0,0,0,0
184,2,9,31,0,0,0,0,0,0
191,2,9,13,15,31,0,0,0,0
192,2,31,0,0,0,0,0,0,0
193,2,31,0,0,0,0,0,0,0
202,2,31,0,0,0,0,0,0,0
207,2,31,0,0,0,0,0,0,0
222,2,31,0,0,0,0,0,0,0
227,12,0,0,0,0,0,0,0,0
228,12,0,0,0,0,0,0,0,0
230,11,15,0,0,0,0,0,0,0
231,5,9,31,0,0,0,0,0,0
233,5,0,0,0,0,0,0,0,0
239,11,15,0,0,0,0,0,0,0
245,11,15,0,0,0,0,0,0,0
246,12,25,0,0,0,0,0,0,0
247,5,9,0,0,0,0,0,0,0
255,12,15,16,0,0,0,0,0,0
257,11,15,0,0,0,0,0,0,0
272,5,0,0,0,0,0,0,0,0
285,13,15,0,0,0,0,0,0,0
288,5,13,15,24,0,0,0,0,0
293,13,15,16,0,0,0,0,0,0
295,11,15,0,0,0,0,0,0,0
303,11,13,15,0,0,0,0,0,0
312,5,0,0,0,0,0,0,0,0
316,5,15,24,0,0,0,0,0,0
322,2,31,0,0,0,0,0,0,0
327,11,15,0,0,0,0,0,0,0
339,5,9,0,0,0,0,0,0,0
363,12,15,16,0,0,0,0,0,0
364,12,15,16,0,0,0,0,0,0
365,12,15,16,24,0,0,0,0,0
366,12,15,16,24,0,0,0,0,0
375,15,31,0,0,0,0,0,0,0
376,31,0,0,0,0,0,0,0,0
379,5,24,31,0,0,0,0,0,0
380,5,24,31,0,0,0,0,0,0
394,12,13,15,16,24,31,0,0,0
398,12,31,0,0,0,0,0,0,0
403,12,31,0,0,0,0,0,0,0
418,12,31,0,0,0,0,0,0,0
421,12,16,31,0,0,0,0,0,0
426,12,31,0,0,0,0,0,0,0
427,12,16,31,0,0,0,0,0,0
428,12,15,16,24,0,0,0,0,0
434,5,12,31,0,0,0,0,0,0
436,11,15,16,24,0,0,0,0,0
440,11,13,15,16,24,0,0,0,0
448,5,13,15,24,0,0,0,0,0
449,5,13,15,24,0,0,0,0,0
456,11,15,0,0,0,0,0,0,0
457,11,15,0,0,0,0,0,0,0
458,11,15,0,0,0,0,0,0,0
460,2,9,31,0,0,0,0,0,0
472,12,31,0,0,0,0,0,0,0
474,5,31,0,0,0,0,0,0,0
479,5,24,31,0,0,0,0,0,0
481,9,31,0,0,0,0,0,0,0
499,25,31,0,0,0,0,0,0,0
500,25,31,0,0,0,0,0,0,0
501,25,31,0,0,0,0,0,0,0
512,5,8,31,0,0,0,0,0,0
533,12,31,0,0,0,0,0,0,0
538,5,31,0,0,0,0,0,0,0
551,8,25,31,0,0,0,0,0,0
565,5,8,31,0,0,0,0,0,0
634,15,16,0,0,0,0,0,0,0
640,11,13,15,0,0,0,0,0,0
647,11,15,0,0,0,0,0,0,0
653,5,11,15,24,31,0,0,0,0
654,11,15,0,0,0,0,0,0,0
657,12,0,0,0,0,0,0,0,0
717,13,14,15,0,0,0,0,0,0
721,12,15,24,0,0,0,0,0,0
728,10,13,14,0,0,0,0,0,0
730,5,10,13,31,0,0,0,0,0
732,5,10,31,0,0,0,0,0,0
733,5,10,31,0,0,0,0,0,0
736,10,13,14,0,0,0,0,0,0
741,11,15,0,0,0,0,0,0,0
750,11,13,15,31,0,0,0,0,0
767,11,15,0,0,0,0,0,0,0
782,12,0,0,0,0,0,0,0,0
788,13,0,0,0,0,0,0,0,0
790,12,16,0,0,0,0,0,0,0
794,13,0,0,0,0,0,0,0,0
796,14,0,0,0,0,0,0,0,0
797,2,9,31,0,0,0,0,0,0
815,13,14,0,0,0,0,0,0,0
817,14,0,0,0,0,0,0,0,0
820,5,0,0,0,0,0,0,0,0
824,14,0,0,0,0,0,0,0,0
827,5,31,0,0,0,0,0,0,0
832,11,12,15,0,0,0,0,0,0
841,10,13,14,0,0,0,0,0,0
842,10,13,14,0,0,0,0,0,0
851,15,24,0,0,0,0,0,0,0
863,13,15,16,0,0,0,0,0,0
866,13,15,16,0,0,0,0,0,0
902,15,16,0,0,0,0,0,0,0
911,5,24,0,0,0,0,0,0,0
913,14,0,0,0,0,0,0,0,0
916,2,31,0,0,0,0,0,0,0
934,13,0,0,0,0,0,0,0,0
935,5,13,0,0,0,0,0,0,0
955,2,31,0,0,0,0,0,0,0
974,5,0,0,0,0,0,0,0,0
987,5,0,0,0,0,0,0,0,0
990,5,0,0,0,0,0,0,0,0
1009,5,31,0,0,0,0,0,0,0
1020,5,31,0,0,0,0,0,0,0
1026,12,31,0,0,0,0,0,0,0
1027,12,31,0,0,0,0,0,0,0
1028,31,0,0,0,0,0,0,0,0
1029,8,9,12,31,0,0,0,0,0
1030,31,0,0,0,0,0,0,0,0
1033,8,9,12,31,0,0,0,0,0
1036,12,31,0,0,0,0,0,0,0
1039,8,9,12,31,0,0,0,0,0
1046,13,15,31,32,0,0,0,0,0
1068,8,31,0,0,0,0,0,0,0
1070,8,31,0,0,0,0,0,0,0
1073,8,0,0,0,0,0,0,0,0
1074,8,31,0,0,0,0,0,0,0
1077,8,31,0,0,0,0,0,0,0
1078,8,31,0,0,0,0,0,0,0
1090,8,31,0,0,0,0,0,0,0
1092,8,31,0,0,0,0,0,0,0
1103,5,8,31,0,0,0,0,0,0
1105,5,8,31,0,0,0,0,0,0
1107,5,8,31,0,0,0,0,0,0
1108,5,8,31,0,0,0,0,0,0
1111,5,8,31,0,0,0,0,0,0
1112,5,8,31,0,0,0,0,0,0
1115,8,31,0,0,0,0,0,0,0
1128,8,12,31,0,0,0,0,0,0
1134,8,12,31,0,0,0,0,0,0
1173,12,31,0,0,0,0,0,0,0
1179,12,0,0,0,0,0,0,0,0
1200,12,0,0,0,0,0,0,0,0
1204,12,0,0,0,0,0,0,0,0
1215,12,0,0,0,0,0,0,0,0
1217,12,13,25,31,0,0,0,0,0
1221,12,31,0,0,0,0,0,0,0
1224,12,0,0,0,0,0,0,0,0
1229,12,31,0,0,0,0,0,0,0
1230,12,0,0,0,0,0,0,0,0
1233,12,0,0,0,0,0,0,0,0
1250,2,9,31,0,0,0,0,0,0
1251,2,31,0,0,0,0,0,0,0
1253,8,9,0,0,0,0,0,0,0
1255,13,15,0,0,0,0,0,0,0
1260,15,0,0,0,0,0,0,0,0
1271,12,31,0,0,0,0,0,0,0
1272,13,15,0,0,0,0,0,0,0
1341,5,31,0,0,0,0,0,0,0
1346,12,0,0,0,0,0,0,0,0
