id,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,6,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,8,9,11,12,14,34,39,48,0,0,0,0,0,0,0,0,0,0
19,6,8,9,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6,9,12,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,6,7,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,6,13,14,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,6,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,6,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,6,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,6,8,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,6,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,13,14,16,63,78,118,0,0,0,0,0,0,0,0,0,0,0,0,0
61,13,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,6,9,12,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,6,9,12,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,6,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,3,6,9,12,14,34,0,0,0,0,0,0,0,0,0,0,0,0,0
72,3,6,9,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,6,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,6,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,6,9,12,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,6,9,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,13,16,29,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,6,11,14,34,39,130,0,0,0,0,0,0,0,0,0,0,0,0,0
118,3,6,11,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,6,9,12,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,6,7,13,14,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,6,8,11,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,3,6,13,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,3,6,13,14,16,63,150,0,0,0,0,0,0,0,0,0,0,0,0
192,6,13,14,15,16,18,63,75,0,0,0,0,0,0,0,0,0,0,0
193,13,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,3,6,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,3,6,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,3,6,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,3,6,9,11,12,14,34,0,0,0,0,0,0,0,0,0,0,0,0
239,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
